time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
4,475,2,471,0.0254346,-1.69016,0.124609,1.50853,1.53145,1.51584,-1.35033,0.536874,5.97108,2.82737,5.51363,5.25637
6.5,480,0,476,0.0385818,-1.70377,0.125377,1.59233,1.57153,1.60667,-1.33502,0.504775,7.35691,3.89716,7.05057,7.77171
6.5,480,1,476,0.0407487,-1.349,0.124453,1.21289,1.206,1.17942,-1.20248,0.600089,5.89437,3.35043,5.72628,5.34168
6.5,480,2,476,0.0394352,-1.65612,0.124422,1.46978,1.47146,1.48592,-1.35425,0.550975,6.10588,2.91674,5.54503,5.31107
9,485,0,481,0.0486778,-1.67928,0.125189,1.59387,1.55903,1.54594,-1.323,0.543984,7.31298,3.57672,7.06926,7.81105
9,485,1,481,0.0341111,-1.39701,0.124267,1.21592,1.21096,1.22932,-1.40886,0.490969,6.35847,3.50268,5.74443,5.38385
9,485,2,481,0.0406578,-1.72066,0.124236,1.54126,1.51095,1.52266,-1.38262,0.490001,6.11155,2.95039,5.56927,5.36481
11.5,490,0,486,0.0550543,-1.71861,0.125001,1.59574,1.59459,1.58118,-1.21822,0.518308,6.98528,3.89876,7.08099,7.84272
11.5,490,1,486,0.0362551,-1.4044,0.124081,1.24109,1.23573,1.2341,-1.3579,0.499177,6.01575,3.29027,5.76291,5.40304
11.5,490,2,486,0.055884,-1.67642,0.12405,1.53006,1.5066,1.5163,-1.33275,0.533823,5.99136,3.20151,5.59487,5.40839
14,495,0,491,0.059405,-1.67221,0.124815,1.57951,1.5702,1.56888,-1.30758,0.543447,6.93819,3.86801,7.09035,7.8989
14,495,1,491,0.051718,-1.39465,0.123894,1.25979,1.21664,1.2251,-1.211,0.552955,6.08541,3.49953,5.77955,5.4598
14,495,2,491,0.0609778,-1.70795,0.123865,1.59094,1.53309,1.53068,-1.29061,0.546168,6.02769,2.9706,5.6154,5.46255
16.5,500,0,496,0.0302118,-1.72102,0.12463,1.5921,1.57559,1.56206,-1.28852,0.51583,7.10727,3.72899,7.10086,7.90024
16.5,500,1,496,0.0241604,-1.46427,0.123708,1.27108,1.30196,1.30444,-1.32466,0.540105,6.10424,3.0773,5.799,5.48373
16.5,500,2,496,0.0263218,-1.78234,0.12368,1.62841,1.61765,1.61182,-1.26368,0.506171,6.41321,3.33527,5.64518,5.49593
19,505,0,501,0.0240516,-1.81691,0.124445,1.67777,1.70067,1.71206,-1.33521,0.517864,7.5225,3.56692,7.11324,7.89347
19,505,1,501,0.0223998,-1.47081,0.123523,1.29888,1.27145,1.27916,-1.3116,0.516253,6.38803,3.37594,5.81739,5.51468
19,505,2,501,0.017925,-1.80091,0.123495,1.59505,1.62,1.63554,-1.21963,0.556813,6.14229,2.73518,5.66772,5.52644
21.5,510,0,506,0.0227959,-1.76663,0.12426,1.63603,1.64758,1.62796,-1.32961,0.486717,7.45886,3.57789,7.1274,7.88711
21.5,510,1,506,0.0268359,-1.49929,0.123339,1.34525,1.35011,1.33627,-1.33135,0.548126,6.38273,3.10235,5.83924,5.52298
21.5,510,2,506,0.0359458,-1.79125,0.123312,1.64677,1.59297,1.60138,-1.29373,0.501117,6.21069,2.88376,5.69323,5.55233
